price_paid,deed_date
460000,2014-07-11
380000,2014-07-11
395000,2014-07-11
550000,2021-05-20
390000,2014-07-11
390000,2014-07-28
380000,2014-07-28
395000,2014-08-22
272500,2010-03-19
340000,2010-07-28
205000,2005-04-15
210000,2011-03-18
161000,2001-03-09
88500,1995-04-21
350000,2012-06-11
315000,2007-02-23
291000,2004-07-09
122000,1998-12-23
157500,2000-12-08
675000,2022-03-04
305000,2005-11-02
193000,2000-10-02
110000,2000-02-10
885000,2017-01-19
387500,2004-09-22
499995,2004-04-21
660000,2022-08-19
410000,2007-06-22
330000,2005-12-08
675000,2022-09-01
701000,2018-05-18
303000,2005-06-20
500000,2008-01-07
380000,2004-09-03
420000,2007-08-13
399995,2005-07-26
245000,2001-10-16
465000,2016-11-11
285000,2006-04-03
249000,2005-02-18
213500,2005-03-01
485000,2013-07-26
174000,2011-01-28
412500,2013-04-29
499995,2014-09-12
364000,2008-08-19
725000,2020-10-16
151000,1997-05-23
270000,2005-10-28
58000,2002-12-16
691000,2021-09-30
355000,2006-06-15
175000,2001-07-17
500000,2012-06-01
152500,1998-04-08
105000,1997-07-29
625000,2019-06-04
640000,2016-11-07
475000,2013-11-08
139995,1999-07-19
125000,1998-05-22
329995,2006-06-30
520000,2020-12-16
690000,2018-09-26
355000,2004-07-09
460000,2011-12-14
365000,2005-06-30
710000,2016-06-27
182500,1998-05-22
359950,2008-02-12
190000,2001-04-27
525000,2017-11-28
249000,2006-05-31
524000,2014-12-17
590000,2015-07-24
173500,2001-09-24
485000,2011-01-21
178000,2001-08-03
69000,1995-10-25
499950,2013-08-08
273000,2012-08-28
366000,2009-09-07
685000,2020-08-28
389950,2010-08-06
166000,1998-11-06
359995,2010-10-08
311000,2006-10-10
120000,1998-10-30
110000,1997-12-05
580000,2016-09-26
530000,2018-02-27
610000,2016-07-08
88500,1996-08-16
393000,2008-09-01
185000,2000-04-12
370000,2008-09-30
165000,1998-07-31
280000,2006-06-22
465000,2017-08-31
630000,2023-06-09
422500,2015-09-28
885000,2021-04-07
282500,2001-06-07
116000,1995-01-06
106000,1999-12-15
79500,1996-10-31
400000,2015-08-17
589500,2020-11-18
350000,2011-08-25
330000,2010-08-19
297000,2007-07-23
595000,2016-09-21
440000,2021-06-25
135000,2000-09-12
59995,1998-11-26
241000,2009-07-08
360000,2010-09-30
229000,2001-07-16
290000,2008-03-07
227000,2002-11-15
530000,2019-09-05
215000,2001-07-03
250000,2005-09-01
269000,2004-11-24
155000,1998-12-22
165000,2000-04-17
225000,2003-11-14
295000,2006-11-30
250000,2013-10-04
135000,2001-09-21
200000,2004-02-12
130000,2001-03-29
87000,1998-02-06
76250,1996-09-12
298000,2014-08-15
242500,2011-11-25
130000,2000-08-11
220000,2010-12-09
142500,2001-07-26
216000,2009-10-09
137000,2001-09-10
215000,2005-04-29
142000,2001-05-25
400000,2017-06-01
250000,2007-01-10
365000,2016-01-15
137000,2000-09-29
467500,2023-07-31
196000,1999-08-26
530000,2014-10-29
895000,2022-07-20
205000,1999-07-29
245000,2001-07-12
585000,2015-04-22
432500,2006-12-15
267000,2002-07-15
395000,2008-11-07
305000,2006-08-31
179995,2000-10-31
309250,2004-03-04
210000,2002-06-21
525000,2017-11-17
185000,2004-07-28
285000,2007-01-19
725000,2020-11-30
324000,2006-03-10
120000,1999-02-11
285000,2006-02-10
595000,2020-02-14
118000,1995-04-13
520000,2012-11-16
455000,2003-08-12
215000,2000-08-07
129000,1995-06-30
171000,1999-04-09
415000,2003-11-14
610000,2018-09-28
727500,2017-11-07
440000,2012-07-13
460000,2018-08-06
465000,2017-01-27
605000,2021-09-30
575000,2017-10-20
365099,2013-05-02
271500,2004-10-08
189000,2001-08-15
455000,2016-10-07
485000,2020-03-30
250000,2005-08-10
320000,2013-07-15
250000,2004-01-29
617500,2018-08-03
285000,2012-02-21
241000,2005-01-07
670000,2023-06-14
430000,2019-10-25
450000,2021-09-30
250000,2005-11-30
137000,1999-06-25
250000,2008-05-07
258500,2004-11-22
430000,2015-07-08
230000,2008-07-25
550000,2021-04-09
115000,1997-08-05
710000,2021-03-19
280000,2005-02-18
86750,1995-08-18
295000,2008-03-08
106000,1998-09-30
89995,1997-05-08
312000,2006-02-16
245000,2005-05-17
246000,2003-05-22
319995,2011-08-09
148000,2000-10-06
245000,2010-01-28
400000,2015-10-21
650000,2023-01-31
236000,2003-05-02
78000,1996-10-17
250000,2004-12-10
568000,2016-08-24
270000,2009-11-20
248000,2005-10-07
183000,2002-08-14
278000,2011-06-03
253000,2004-06-24
500000,2016-12-21
297000,2006-09-20
250000,2005-10-14
192000,2004-05-14
200000,2003-02-28
285000,2012-10-11
275500,2004-11-18
102000,1999-08-11
570000,2018-06-11
405000,2015-01-09
310000,2007-04-26
167000,2001-03-09
304000,2006-12-14
229995,2003-05-09
265000,2012-05-09
145000,2000-11-06
310000,2008-06-05
249500,2006-10-31
305000,2007-06-06
193500,2002-07-19
470000,2021-06-04
250000,2011-04-21
277500,2006-09-06
246500,2005-07-15
164000,2001-03-20
160000,2000-07-21
560000,2020-12-18
485000,2016-03-18
225000,2002-10-31
520000,2016-01-07
250000,2013-04-22
135000,2000-03-29
195000,2001-08-23
200000,2012-08-31
87160,1996-05-24
243000,2003-11-21
320000,2013-11-29
81000,1996-08-06
287000,2013-12-23
74000,1996-07-12
165000,2001-08-23
362500,2007-11-02
237000,2006-07-27
500000,2016-08-11
292500,2012-01-13
249995,2010-07-30
154500,2001-06-15
345000,2012-06-01
205000,2002-07-05
125000,2001-12-11
97500,1998-04-17
515000,2021-09-30
582000,2018-05-09
276000,2011-04-08
283750,2009-01-16
340000,2007-09-21
178000,2001-07-26
295000,2004-10-08
139995,1999-10-28
436000,2014-07-16
350000,2009-10-09
247500,2003-10-08
234000,2003-06-27
560000,2022-04-08
166995,2001-04-27
172995,2001-11-16
295000,2006-07-07
